Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Christian Acella,ITA,MF,Cremonese,Serie A,20-264,2002,1,15,0.2, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,35-046,1988,20,17,"1,605",17.8,0.6,1.0,1.0,3.0,23.0,0.6,1.2,0.03,17.0,0.06
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19-245,2003,1,13,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,21-071,2002,2,36,0.4,0.1,0.1,0.2,3.0,1.0,2.0, , , , , 
Marcos Acuña,ARG,DF,Sevilla,La Liga,31-151,1991,21,15,"1,328",14.8,2.0,1.0,3.0,2.0,0.9,1.0,0.9,31.0,3.3,81.0
Che Adams,SCO,FW,Southampton,Premier League,26-258,1996,25,22,"1,873",20.8,5.0,3.0,8.0,5.0,5.9,5.9,2.8,14.0,30.0,96.0
Tyler Adams,USA,MF,Leeds United,Premier League,24-042,1999,24,24,"2,156",24.0,0.1,6.0,1.0,0.1,19.0,1.5,136.0,0.0,0.06,0.06
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29-309,1993,22,4,633,7.0,1.0,2.0,3.0,1.0,3.4,3.4,0.8,11.0,23.0,57.0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25-185,1997,15,13,"1,185",13.2,1.0,1.0,1.0,2.0,0.2,0.2,40.0,7.0,0.08,0.08
Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,19-116,2003,5,107,1.2,2.0,0.1,0.1,0.1,3.0,1.0, , , , , 
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21-069,2002,16,12,799,8.9,3.0,2.0,5.0,3.0,2.5,2.5,2.0,21.0,27.0,79.0
Amine Adli,FRA,"FW,MF",Leverkusen,Bundesliga,22-322,2000,17,9,923,10.3,2.0,2.0,4.0,2.0,2.4,1.0,2.4,31.0,3.6,34.0
Yacine Adli,FRA,"MF,FW",Milan,Serie A,22-242,2000,5,1,124,1.4,0.1,1.0,0.1,0.1,5.0,9.0,7.0, , , 
Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,26-081,1997,23,11,"1,011",11.2,1.0,1.0,1.0,3.0,1.1,0.5,1.6,10.0,60.0,0.09
Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,20-068,2003,16,5,605,6.7,1.3,2.0,1.3,0.1,18.0,6.0,44.0, , , 
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25-284,1997,21,19,"1,705",18.9,1.5,2.0,2.0,3.0,11.0,1.5,1.6,0.08,64.0,5.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22-092,2000,5,4,405,4.5, , , , ,0.0,0.0,0.0,0.0, ,0.0
Lucien Agoume,FRA,MF,Troyes,Ligue 1,21-047,2002,9,8,646,7.2,0.5,1.0,1.0,4.0,5.0,1.0,1.5, ,5.0, 
Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,23-182,1999,3,49,0.5,0.1, ,0.1,2.0,2.0, , , ,0.0, , 
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26-331,1996,24,13,"1,298",14.4,1.0,2.0,3.0,1.0,0.6,0.6,1.5,19.0,94.0,30.0
Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,24-134,1998,26,21,"1,788",19.9,1.2,1.0,1.0,3.0,61.0,2.1,3.2,0.06,80.0,0.05
Nayef Aguerd,MAR,DF,West Ham,Premier League,26-363,1996,10,9,875,9.7,1.2,3.0,1.2,0.1,1.0,15.0,4.0,0.12,0.13,0.12
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29-336,1993,16,10,868,9.6,0.2,2.0,0.2,0.9,19.0,67.0,51.0,0.02,0.11,0.02
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20-364,2002,7,93,1,1.0,0.2,0.2,0.1,0.2,1.0,11.0, , , , 
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20-364,2002,17,17,"1,398",15.5,2.0,2.0,4.0,2.0,0.8,1.0,0.8,43.0,2.1,56.0
Amar Ahmed,SWE,FW,Troyes,Ligue 1,19-037,2004,1,20,0.2,1.0, ,2.0, , ,0.0,0.0,0.0,0.0, , 
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,29-008,1994,22,13,"1,064",11.8,3.0,1.0,4.0,3.0,1.0,1.0,1.0,22.0,1.9,32.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27-180,1995,26,26,"2,323",25.8,2.0,2.0,2.0,4.0,0.8,0.9,70.0,10.0,0.08,0.08
Ola Aina,NGA,DF,Torino,Serie A,26-171,1996,16,9,807,9.0,1.0,1.0,2.0,1.0,0.7,0.7,2.0,33.0,39.0,41.0
Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21-295,2001,20,9,"1,031",11.5,1.0,1.0,1.0,4.0,0.7,1.0,1.7,30.0,76.0,0.09
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,22-093,2000,18,14,"1,299",14.4,0.2,3.0,0.2,0.4,18.0,40.0,7.0,0.01,0.04,0.01
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24-345,1998,9,9,763,8.5,10.0,0.1,31.0,12.0,0.0,0.0, , , , 
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,29-031,1994,13,9,771,8.6,1.0,1.0,1.0,1.0,3.4,2.6,0.9,2.0,13.0,55.0
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29-031,1994,9,8,647,7.2,2.0,1.0,3.0,2.0,1.8,1.8,1.3,3.0,15.0,50.0
Manuel Akanji,SUI,DF,Manchester City,Premier League,27-252,1995,20,17,"1,631",18.1,1.2,1.0,1.0,2.0,20.0,0.3,1.4,0.06,10.0,0.06
Nathan Aké,NED,DF,Manchester City,Premier League,28-038,1995,21,17,"1,513",16.8,1.0,2.0,1.0,0.6,21.0,113.0,27.0,0.06,0.1,0.06
Sergio Akieme,ESP,DF,Almería,La Liga,25-102,1997,25,25,"2,115",23.5,1.0,1.0,1.0,5.0,1.5,1.9,3.4,58.0,81.0,0.04
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21-031,2002,7,4,307,3.4,0.2,3.0,0.2,0.3,5.0,12.0,26.0, , , 
Paul Akouokou,CIV,MF,Betis,La Liga,25-098,1997,7,2,283,3.1,0.1,2.0,0.1,0.1, ,1.0, , , , 
Jean-Daniel Akpa-Akpro,CIV,MF,Empoli,Serie A,30-168,1992,16,11,922,10.2,0.3,8.0,2.0,0.3,14.0,1.0,31.0,0.03,0.06,0.1
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27-343,1995,21,14,"1,381",15.3,0.6,8.0,0.6,0.5,15.0,70.0,23.0,0.04,0.08,0.04
David Alaba,AUT,DF,Real Madrid,La Liga,30-277,1992,19,17,"1,545",17.2,1.0,3.0,4.0,1.0,0.7,0.7,1.1,14.0,60.0,58.0
Ángel Alarcón,ESP,"MF,FW",Barcelona,La Liga,18-317,2004,4,25,0.3,2.0, , , , , , , ,0.0, ,0.0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,24-068,1999,4,2,223,2.5,2.0,2.0,1.0,0.1, ,9.0,6.0, , , 
Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,30-171,1992,17,2,295,3.3,1.0,1.0,1.0,1.4,1.4,8.0,15.0,2.0, , 
Jordi Alba,ESP,DF,Barcelona,La Liga,34-007,1989,16,10,999,11.1,1.0,3.0,4.0,1.0,0.6,1.0,0.6,31.0,5.8,113.0
Luis Alberto,ESP,MF,Lazio,Serie A,30-181,1992,24,16,"1,473",16.4,5.0,3.0,8.0,4.0,3.5,2.0,2.0,46.0,3.3,5.1
Raúl Albiol,ESP,DF,Villarreal,La Liga,37-205,1985,23,23,"2,014",22.4,0.1,6.0,0.1,0.1,12.0,2.0,0.01,0.0,0.0,0.0
Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,33-130,1989,6,1,237,2.6,1.0,1.0,1.0,0.3,0.3,1.3,7.0,4.0, , 
Thiago Alcántara,ESP,MF,Liverpool,Premier League,31-351,1991,14,14,"1,154",12.8,0.4,2.0,0.4,1.1,12.0,107.0,22.0,0.03,0.12,0.03
Carlos Alcaraz,ARG,MF,Southampton,Premier League,20-118,2002,8,4,327,3.6,2.0,2.0,2.0,1.0,0.6,0.1,0.7,9.0,14.0, 
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31-331,1991,20,14,"1,259",14.0,2.0,2.0,1.0,1.0,1.7,8.0,1.0,17.0,1.0,1.9
Omar Alderete,PAR,DF,Getafe,La Liga,26-092,1996,13,12,"1,080",12.0,0.2,1.0,1.0,5.0,16.0,0.7,1.0,0.02,6.0,0.08
Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,28-046,1995,20,8,828,9.2,0.7,1.0,1.0,9.0,30.0,0.7,1.2,0.08,7.0,57.0
Dogan Alemdar,TUR,GK,Rennes,Ligue 1,20-150,2002,3,2,225,2.5, , , , ,0.0,0.0,0.0,0.0, ,0.0
Carles Aleñá,ESP,MF,Getafe,La Liga,25-082,1998,24,20,"1,583",17.6,2.0,2.0,4.0,2.0,1.7,1.0,1.7,19.0,2.5,72.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24-172,1998,26,23,"1,933",21.5,1.0,2.0,3.0,1.0,1.7,1.7,6.2,29.0,160.0,113.0
Alejandro Alfaro,ESP,MF,Elche,La Liga,20-286,2002,1,15,0.2, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Algobia,ESP,MF,Getafe,La Liga,23-278,1999,19,11,"1,005",11.2,0.2,3.0,0.2,0.1,8.0,39.0,10.0,0.02,0.03,0.02
Mohamed Ali Cho,FRA,FW,Real Sociedad,La Liga,19-068,2004,11,3,360,4.0,1.0,2.0,2.0,1.0,21.0,1.5,2.5, ,42.0, 
Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21-253,2001,11,135,1.5,0.1,0.1,0.3,0.4,11.0,5.0, , , , , 
Alisson,BRA,GK,Liverpool,Premier League,30-177,1992,26,26,"2,340",26.0,0.0,1.0,1.0,0.3,0.0,1.0,0.04,0.0,0.04,0.01
Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,28-029,1995,26,18,"1,658",18.4,1.0,1.0,1.0,2.0,2.1,1.4,3.4,66.0,112.0,0.05
Dele Alli,ENG,MF,Everton,Premier League,26-351,1996,2,40,0.4,1.0, ,1.0, , ,0.0,0.0,0.0,0.0, , 
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22-302,2000,23,18,"1,594",17.7,2.0,3.0,5.0,2.0,0.7,0.7,2.2,45.0,118.0,47.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29-046,1994,25,24,"1,978",22.0,11.0,1.0,12.0,11.0,6.1,6.1,1.6,62.0,106.0,206.0
Marcos Alonso,ESP,DF,Barcelona,La Liga,32-090,1990,15,6,682,7.6,1.0,1.0,1.0,1.0,0.8,0.3,1.1,18.0,3.0, 
Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33-259,1989,21,11,"1,115",12.4,0.5,1.0,0.5,0.5,27.0,40.0,30.0,0.04,0.08,0.04
Éder Álvarez Balanta,COL,MF,Schalke 04,Bundesliga,30-028,1993,5,3,193,2.1,0.1,2.0,0.1,0.3,1.0,7.0, , , , 
Carlos Álvarez,ESP,FW,Sevilla,La Liga,19-234,2003,1,10,0.1,1.0, , , , , , , , , , 
Gastón Álvarez,URU,DF,Getafe,La Liga,23-004,2000,14,9,902,10.0,2.0,2.0,2.0,5.0,0.4,0.4,0.2,5.0,27.0,16.0
Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,23-056,2000,20,6,749,8.3,5.0,5.0,5.0,3.6,3.6,4.8,22.0,22.0, , 
Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21-313,2001,18,1,312,3.5,1.0,1.0,2.0,1.0,1.3,1.3,0.3,2.0,6.0,16.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28-063,1995,21,21,"1,805",20.1,1.0,1.0,2.0,1.0,0.4,1.0,0.4,25.0,1.3,121.0
Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29-356,1993,7,4,424,4.7,0.1,2.0,0.1,0.1, ,5.0,5.0, , , 
Selim Amallah,MAR,MF,Valladolid,La Liga,26-133,1996,2,54,0.6,1.0,3.0,4.0, , , , , , , , 
Daniel Amartey,GHA,DF,Leicester City,Premier League,28-097,1994,19,17,"1,520",16.9,1.0,1.0,1.0,0.5,21.0,65.0,5.0,0.06,0.09,0.06
Amath,SEN,"MF,FW",Mallorca,La Liga,26-255,1996,18,3,589,6.5,1.0,1.0,1.0,2.0,1.3,0.8,2.1,13.0,33.0, 
Jordan Amavi,FRA,DF,Getafe,La Liga,29-019,1994,4,1,193,2.1,4.0,2.0,1.0,5.0,0.0,0.0,0.0, , , 
Luká Ambros,CZE,MF,Wolfsburg,Bundesliga,18-296,2004,1,17,0.2, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,FRA,DF,Spezia,Serie A,25-048,1998,20,16,"1,499",16.7,1.2,1.0,1.0,4.0,24.0,1.4,2.5,0.07,48.0,0.06
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21-084,2002,1,1,58,0.6, ,1.0, , ,0.0,0.0,0.0,0.0, , 
Bruno Amione,ARG,DF,Sampdoria,Serie A,21-084,2002,16,16,"1,330",14.8,0.5,1.0,1.0,7.0,7.0,0.6,1.1,0.03,8.0,0.07
Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,26-152,1996,19,6,721,8.0,3.0,1.0,4.0,3.0,0.8,0.8,0.8,22.0,39.0,26.0
Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,22-195,2000,21,21,"1,810",20.1,0.9,1.0,1.0,5.0,18.0,0.9,1.9,0.05,9.0,0.05
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,26-219,1996,24,20,"1,657",18.4,0.4,9.0,0.4,0.6,33.0,147.0,21.0,0.02,0.05,0.02
Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18-318,2004,4,2,234,2.6,6.0,12.0,18.0, ,0.0, , , , , 
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26-301,1996,22,22,"1,927",21.4,1.0,1.0,1.0,6.0,1.4,0.8,2.2,5.0,6.0,0.05
Elliot Anderson,SCO,"FW,MF",Newcastle Utd,Premier League,20-142,2002,12,1,188,2.1,0.7,0.7,0.6,1.3,15.0,18.0, , , , 
Felipe Anderson,BRA,FW,Lazio,Serie A,29-347,1993,27,25,"2,105",23.4,6.0,2.0,8.0,6.0,4.8,4.8,4.0,60.0,83.0,167.0
Benjamin André,FRA,MF,Lille,Ligue 1,32-237,1990,25,25,"2,206",24.5,1.0,1.0,2.0,1.0,1.2,1.2,1.7,30.0,234.0,35.0
Komnen Andric,SRB,FW,Clermont Foot,Ligue 1,27-270,1995,28,16,"1,378",15.3,4.0,3.0,7.0,3.0,5.4,2.0,3.0,8.0,0.9,4.7
Robert Andrich,GER,MF,Leverkusen,Bundesliga,28-187,1994,23,22,"1,866",20.7,2.0,2.0,4.0,2.0,1.3,1.3,1.1,10.0,85.0,5.0
Angeliño,ESP,DF,Hoffenheim,Bundesliga,26-083,1997,24,21,"1,891",21.0,0.9,5.0,5.0,2.0,18.0,5.0,5.8,0.04,100.0,0.24
Fabrizio Angileri,ARG,DF,Getafe,La Liga,29-013,1994,10,7,543,6.0,0.1,2.0,1.0,0.1,4.0,15.0,11.0, , , 
Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,23-117,1999,22,9,"1,004",11.2,3.0,3.0,3.0,2.0,2.0,0.6,2.7,23.0,60.0,0.27
Janis Antiste,FRA,FW,Sassuolo,Serie A,20-222,2002,2,52,0.6,1.0,1.0,1.0,0.2,0.2,0.2,2.0, , , , 
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26-251,1996,25,25,"2,171",24.1,1.0,1.0,1.0,3.0,1.4,0.8,2.2,44.0,46.0,0.04
Marcos Antônio,BRA,MF,Lazio,Serie A,22-288,2000,11,3,311,3.5, ,1.0,14.0,3.0,0.0,0.0,0.0,0.0, , 
Michail Antonio,JAM,FW,West Ham,Premier League,33-000,1990,23,12,"1,129",12.5,3.0,2.0,5.0,3.0,3.4,3.4,1.1,25.0,19.0,76.0
Antony,BRA,"FW,MF",Manchester Utd,Premier League,23-032,2000,14,13,"1,071",11.9,3.0,3.0,3.0,4.0,2.8,0.6,3.5,56.0,90.0,0.25
Valentin Antov,BUL,DF,Monza,Serie A,22-139,2000,5,1,198,2.2, ,1.0,10.0,3.0,0.0, , ,0.0, , 
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29-049,1994,20,13,"1,216",13.5,2.0,6.0,8.0,2.0,2.0,3.2,5.2,39.0,150.0,0.44
Anuar,MAR,"MF,FW",Valladolid,La Liga,28-072,1995,3,3,210,2.3,1.0,1.0,1.0,1.0,0.3,0.4,0.8,6.0,4.0, 
Houssem Aouar,FRA,MF,Lyon,Ligue 1,24-271,1998,11,6,445,4.9,1.0,1.0,2.0,1.0,1.1,1.1,0.2,12.0,32.0,29.0
Adil Aouchiche,FRA,"MF,FW",Lorient,Ligue 1,20-256,2002,8,108,1.2,0.4,0.4,0.1,0.5,12.0,7.0, , , , , 
Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30-292,1992,15,9,795,8.8,0.4,1.0,0.4,0.2,15.0,39.0,51.0, , , 
Stredair Appuah,FRA,MF,Nantes,Ligue 1,18-274,2004,1,10,0.1,1.0,1.0,1.0, , ,0.0,0.0,0.0, , , 
Mauro Arambarri,URU,MF,Getafe,La Liga,27-179,1995,10,10,826,9.2,0.2,1.0,1.0,4.0,8.0,0.2,1.5,0.02,30.0,7.0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33-345,1989,10,4,493,5.5,1.0,1.0,1.0,1.0,0.3,0.2,0.5,3.0,7.0, 
Ronald Araújo,URU,DF,Barcelona,La Liga,24-021,1999,14,13,"1,121",12.5,1.3,1.0,1.0,4.0,21.0,1.3,0.4,0.11,45.0,8.0
Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21-250,2001,6,49,0.5,3.0,3.0, , , ,0.0,0.0,0.0, , ,0.0
Taïryk Arconte,FRA,FW,Brest,Ligue 1,19-136,2003,4,1,128,1.4,0.3,0.3,0.1,0.4,1.0,8.0, , , , 
Alphonse Areola,FRA,GK,West Ham,Premier League,30-029,1993,5,2,309,3.4, , , , ,0.0,0.0,0.0,0.0, ,0.0
Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26-250,1996,19,11,"1,094",12.2,2.0,2.0,2.0,2.0,1.4,0.8,2.2,17.0,58.0,0.16
Adam Armstrong,ENG,FW,Southampton,Premier League,26-046,1997,24,12,"1,111",12.3,1.0,1.0,2.0,1.0,1.6,1.6,0.7,37.0,15.0,59.0
Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30-363,1992,23,10,"1,003",11.1,1.0,1.0,1.0,5.0,1.6,1.7,3.3,42.0,58.0,0.09
Marko Arnautovic,AUT,FW,Bologna,Serie A,33-343,1989,16,14,"1,231",13.7,8.0,8.0,5.0,3.0,5.7,5.0,3.3,11.0,5.0,28.0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28-305,1994,24,24,"2,088",23.2,5.0,2.0,7.0,2.0,4.0,4.0,5.0,14.0,3.3,4.1
Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18-356,2004,1,2,1, ,1.0, , , ,0.0,0.0,0.0, ,0.0,0.0
Sergio Arribas,ESP,FW,Real Madrid,La Liga,21-179,2001,1,10,0.1,0.2,0.2,0.2,2.0, , , , , , , 
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,28-176,1994,19,19,"1,665",18.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Arroyo,ESP,MF,Valladolid,La Liga,19-215,2003,1,15,0.2,4.0,1.0, , , ,0.0,0.0,0.0, , ,0.0
Tolgay Arslan,GER,MF,Udinese,Serie A,32-224,1990,26,11,928,10.3,1.0,1.0,1.0,1.0,1.6,1.1,2.7,35.0,32.0,0.1
Ricard Artero,ESP,FW,Girona,La Liga,20-051,2003,1,8,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Arthur,BRA,FW,Fiorentina,Serie A,24-337,1998,22,9,928,10.3,6.0,1.0,7.0,5.0,5.4,1.0,2.0,8.0,0.7,5.2
Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24-327,1998,9,4,389,4.3,0.2,0.2,0.5,0.7,7.0,17.0, , , , 
Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,28-138,1994,16,13,"1,005",11.2,1.0,2.0,3.0,1.0,2.6,2.6,1.0,17.0,19.0,69.0
Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,26-031,1997,13,7,727,8.1,0.4,1.0,0.4,0.4,1.0,41.0,6.0, , , 
Sergio Asenjo,ESP,GK,Valladolid,La Liga,33-273,1989,9,9,810,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,27-066,1996,20,7,701,7.8,5.0,3.0,8.0,5.0,4.2,1.0,3.4,22.0,5.6,31.0
Kristoffer Askildsen,NOR,MF,Lecce,Serie A,22-078,2001,18,6,622,6.9,0.4,3.0,0.4,0.3,9.0,21.0,16.0, , , 
Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,20-232,2002,7,143,1.6,1.5,1.5,0.2,1.7,18.0,4.0, , , , , 
Kristjan Asllani,ALB,MF,Inter,Serie A,21-019,2002,12,2,294,3.3,0.2,2.0,0.2,0.3,2.0,10.0,2.0, , , 
Iago Aspas,ESP,FW,Celta Vigo,La Liga,35-239,1987,26,24,"2,194",24.4,12.0,3.0,15.0,10.0,9.3,3.0,4.0,64.0,4.5,11.5
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22-279,2000,6,2,194,2.2,0.3,1.0,1.0,2.0,4.0,0.3,0.6, ,8.0, 
Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26-315,1996,13,7,637,7.1,1.0,1.0,1.0,1.0,0.9,1.2,2.0,30.0,45.0, 
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,17-215,2005,1,3, , , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,Premier League,33-283,1989,12,4,441,4.9,1.0,1.0,1.0,1.0,0.7,0.3,1.0,7.0,22.0, 
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,33-283,1989,1,9,0.1,0.1,0.1,0.1, , , , , , , , 
Emil Audero,ITA,GK,Sampdoria,Serie A,26-069,1997,25,25,"2,250",25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,28-210,1994,26,24,"2,074",23.0,2.0,2.0,4.0,2.0,0.5,0.5,1.8,59.0,82.0,98.0
Ludwig Augustinsson,SWE,DF,Aston Villa,Premier League,28-341,1994,3,1,77,0.9,0.1,1.0,0.1,0.1, , , , , , 
Ludwig Augustinsson,SWE,DF,Mallorca,La Liga,28-341,1994,3,1,113,1.3, ,3.0,6.0, ,0.0, , ,0.0, , 
Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,30-094,1992,18,16,"1,430",15.9,1.0,1.0,1.0,2.0,0.7,1.0,1.7,33.0,42.0,0.06
Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,32-027,1991,20,16,"1,259",14.0,2.0,2.0,4.0,1.0,2.3,1.0,1.5,19.0,3.5,72.0
Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29-050,1994,23,20,"1,465",16.3,7.0,2.0,9.0,5.0,6.0,3.0,7.0,19.0,3.7,1.6
Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,36-198,1986,18,16,"1,462",16.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.06,0.06
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25-228,1997,16,9,730,8.1,4.0,4.0,4.0,4.5,4.5,5.5,7.0,11.0, , 
Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,21-047,2002,14,3,482,5.4,0.2,0.2,0.7,0.9,8.0,19.0, , , , 
André Ayew,GHA,FW,Nott'ham Forest,Premier League,33-101,1989,7,1,229,2.5,1.0,1.0,0.2,0.2,3.0,14.0, , , , 
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,31-198,1991,28,22,"1,877",20.9,1.0,1.0,2.0,1.0,1.4,1.4,1.7,52.0,43.0,112.0
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,28-138,1994,10,5,545,6.1,8.0,1.0,15.0, ,0.0,0.0,0.0, , , 
Luke Ayling,ENG,DF,Leeds United,Premier League,31-215,1991,20,13,"1,244",13.8,1.0,1.0,2.0,1.0,1.9,1.9,1.5,16.0,49.0,52.0
Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21-352,2001,1,1, , , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,28-086,1995,14,5,557,6.2,2.0,1.0,3.0,2.0,2.4,2.4,2.1,5.0,25.0,38.0
César Azpilicueta,ESP,DF,Chelsea,Premier League,33-212,1989,19,11,"1,106",12.3,0.3,3.0,0.3,1.0,17.0,59.0,60.0,0.03,0.11,0.03
Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,19-082,2004,1,1, , , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
Iddrisu Baba,GHA,MF,Mallorca,La Liga,27-065,1996,19,14,"1,141",12.7,0.4,4.0,0.4,0.2,3.0,35.0,6.0,0.03,0.05,0.03
Srdan Babic,SRB,DF,Almería,La Liga,26-340,1996,23,22,"2,025",22.5,1.0,1.0,1.0,3.0,0.9,0.2,1.1,17.0,4.0,0.04
Loïc Bade,FRA,DF,Sevilla,La Liga,22-351,2000,8,7,628,7.0,0.1,2.0,0.1,0.1,5.0,27.0,2.0, , , 
Loïc Bade,FRA,DF,Rennes,Ligue 1,22-351,2000,1,1,90,1.0,0.2,1.0,1.0,1.0, ,0.1,0.3, , , 
Édgar Badía,ESP,GK,Elche,La Liga,31-044,1992,26,26,"2,340",26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benoît Badiashile,FRA,DF,Chelsea,Premier League,22-002,2001,8,7,635,7.1,0.8,1.0,0.8,0.5,9.0,43.0,1.0, , , 
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,22-002,2001,11,9,839,9.3,2.0,2.0,2.0,3.0,0.6,0.4,1.0,3.0,0.21,0.21
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,21-251,2001,23,12,"1,294",14.4,4.0,1.0,5.0,4.0,2.1,1.0,2.1,35.0,6.0,73.0
Jaime Báez,URU,DF,Cremonese,Serie A,27-337,1995,2,1,96,1.1,0.1,0.1,0.1,0.3,5.0,8.0, , , , 
